,support,itemsets
0,0.07216494845360824,frozenset({'FGO'})
1,0.05154639175257732,frozenset({'Fate'})
2,0.05154639175257732,frozenset({'Fate/GO10000users入り'})
3,0.09278350515463918,frozenset({'Fate/GO1000users入り'})
4,0.17525773195876287,frozenset({'Fate/GrandOrder'})
5,0.05154639175257732,frozenset({'ぐだ♂ぐだ♀'})
6,0.07216494845360824,frozenset({'ぐだ子'})
7,0.05154639175257732,frozenset({'ぐだ男'})
8,0.09278350515463918,frozenset({'イラスト'})
9,0.31958762886597936,frozenset({'オリジナル'})
10,0.12371134020618557,frozenset({'オリジナル10000users入り'})
11,0.05154639175257732,frozenset({'オリジナル1000users入り'})
12,0.08247422680412371,frozenset({'女の子'})
13,0.05154639175257732,frozenset({'彼と彼女'})
14,0.09278350515463918,frozenset({'插画'})
15,0.09278350515463918,frozenset({'永远的7日之都'})
16,0.09278350515463918,frozenset({'永遠の七日1000users入り'})
17,0.05154639175257732,frozenset({'永遠的7日之都'})
18,0.08247422680412371,frozenset({'狐耳'})
19,0.09278350515463918,frozenset({'盾指'})
20,0.09278350515463918,frozenset({'罗纳克'})
21,0.07216494845360824,"frozenset({'Fate/GrandOrder', 'FGO'})"
22,0.05154639175257732,"frozenset({'Fate/GO10000users入り', 'Fate/GrandOrder'})"
23,0.05154639175257732,"frozenset({'ぐだ♂ぐだ♀', 'ぐだ子'})"
24,0.05154639175257732,"frozenset({'ぐだ男', 'ぐだ♂ぐだ♀'})"
25,0.05154639175257732,"frozenset({'ぐだ男', 'ぐだ子'})"
26,0.05154639175257732,"frozenset({'彼と彼女', 'イラスト'})"
27,0.09278350515463918,"frozenset({'插画', 'イラスト'})"
28,0.09278350515463918,"frozenset({'永远的7日之都', 'イラスト'})"
29,0.09278350515463918,"frozenset({'永遠の七日1000users入り', 'イラスト'})"
30,0.05154639175257732,"frozenset({'イラスト', '永遠的7日之都'})"
31,0.09278350515463918,"frozenset({'イラスト', '盾指'})"
32,0.09278350515463918,"frozenset({'罗纳克', 'イラスト'})"
33,0.12371134020618557,"frozenset({'オリジナル', 'オリジナル10000users入り'})"
34,0.07216494845360824,"frozenset({'オリジナル', '女の子'})"
35,0.05154639175257732,"frozenset({'彼と彼女', '插画'})"
36,0.05154639175257732,"frozenset({'彼と彼女', '永远的7日之都'})"
37,0.05154639175257732,"frozenset({'彼と彼女', '永遠の七日1000users入り'})"
38,0.05154639175257732,"frozenset({'彼と彼女', '永遠的7日之都'})"
39,0.05154639175257732,"frozenset({'彼と彼女', '盾指'})"
40,0.05154639175257732,"frozenset({'彼と彼女', '罗纳克'})"
41,0.09278350515463918,"frozenset({'永远的7日之都', '插画'})"
42,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '插画'})"
43,0.05154639175257732,"frozenset({'插画', '永遠的7日之都'})"
44,0.09278350515463918,"frozenset({'插画', '盾指'})"
45,0.09278350515463918,"frozenset({'罗纳克', '插画'})"
46,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '永远的7日之都'})"
47,0.05154639175257732,"frozenset({'永远的7日之都', '永遠的7日之都'})"
48,0.09278350515463918,"frozenset({'永远的7日之都', '盾指'})"
49,0.09278350515463918,"frozenset({'罗纳克', '永远的7日之都'})"
50,0.05154639175257732,"frozenset({'永遠の七日1000users入り', '永遠的7日之都'})"
51,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '盾指'})"
52,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '罗纳克'})"
53,0.05154639175257732,"frozenset({'永遠的7日之都', '盾指'})"
54,0.05154639175257732,"frozenset({'罗纳克', '永遠的7日之都'})"
55,0.09278350515463918,"frozenset({'罗纳克', '盾指'})"
56,0.05154639175257732,"frozenset({'ぐだ男', 'ぐだ♂ぐだ♀', 'ぐだ子'})"
57,0.05154639175257732,"frozenset({'彼と彼女', '插画', 'イラスト'})"
58,0.05154639175257732,"frozenset({'彼と彼女', '永远的7日之都', 'イラスト'})"
59,0.05154639175257732,"frozenset({'彼と彼女', '永遠の七日1000users入り', 'イラスト'})"
60,0.05154639175257732,"frozenset({'彼と彼女', 'イラスト', '永遠的7日之都'})"
61,0.05154639175257732,"frozenset({'彼と彼女', 'イラスト', '盾指'})"
62,0.05154639175257732,"frozenset({'彼と彼女', '罗纳克', 'イラスト'})"
63,0.09278350515463918,"frozenset({'永远的7日之都', '插画', 'イラスト'})"
64,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '插画', 'イラスト'})"
65,0.05154639175257732,"frozenset({'插画', 'イラスト', '永遠的7日之都'})"
66,0.09278350515463918,"frozenset({'插画', 'イラスト', '盾指'})"
67,0.09278350515463918,"frozenset({'罗纳克', '插画', 'イラスト'})"
68,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '永远的7日之都', 'イラスト'})"
69,0.05154639175257732,"frozenset({'永远的7日之都', 'イラスト', '永遠的7日之都'})"
70,0.09278350515463918,"frozenset({'永远的7日之都', 'イラスト', '盾指'})"
71,0.09278350515463918,"frozenset({'罗纳克', '永远的7日之都', 'イラスト'})"
72,0.05154639175257732,"frozenset({'永遠の七日1000users入り', 'イラスト', '永遠的7日之都'})"
73,0.09278350515463918,"frozenset({'永遠の七日1000users入り', 'イラスト', '盾指'})"
74,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '罗纳克', 'イラスト'})"
75,0.05154639175257732,"frozenset({'永遠的7日之都', 'イラスト', '盾指'})"
76,0.05154639175257732,"frozenset({'罗纳克', 'イラスト', '永遠的7日之都'})"
77,0.09278350515463918,"frozenset({'罗纳克', 'イラスト', '盾指'})"
78,0.05154639175257732,"frozenset({'永远的7日之都', '彼と彼女', '插画'})"
79,0.05154639175257732,"frozenset({'彼と彼女', '永遠の七日1000users入り', '插画'})"
80,0.05154639175257732,"frozenset({'彼と彼女', '插画', '永遠的7日之都'})"
81,0.05154639175257732,"frozenset({'彼と彼女', '插画', '盾指'})"
82,0.05154639175257732,"frozenset({'彼と彼女', '罗纳克', '插画'})"
83,0.05154639175257732,"frozenset({'彼と彼女', '永遠の七日1000users入り', '永远的7日之都'})"
84,0.05154639175257732,"frozenset({'彼と彼女', '永远的7日之都', '永遠的7日之都'})"
85,0.05154639175257732,"frozenset({'彼と彼女', '永远的7日之都', '盾指'})"
86,0.05154639175257732,"frozenset({'彼と彼女', '罗纳克', '永远的7日之都'})"
87,0.05154639175257732,"frozenset({'彼と彼女', '永遠の七日1000users入り', '永遠的7日之都'})"
88,0.05154639175257732,"frozenset({'彼と彼女', '永遠の七日1000users入り', '盾指'})"
89,0.05154639175257732,"frozenset({'彼と彼女', '永遠の七日1000users入り', '罗纳克'})"
90,0.05154639175257732,"frozenset({'永遠的7日之都', '彼と彼女', '盾指'})"
91,0.05154639175257732,"frozenset({'彼と彼女', '罗纳克', '永遠的7日之都'})"
92,0.05154639175257732,"frozenset({'彼と彼女', '罗纳克', '盾指'})"
93,0.09278350515463918,"frozenset({'永远的7日之都', '永遠の七日1000users入り', '插画'})"
94,0.05154639175257732,"frozenset({'永远的7日之都', '插画', '永遠的7日之都'})"
95,0.09278350515463918,"frozenset({'永远的7日之都', '插画', '盾指'})"
96,0.09278350515463918,"frozenset({'永远的7日之都', '罗纳克', '插画'})"
97,0.05154639175257732,"frozenset({'永遠の七日1000users入り', '插画', '永遠的7日之都'})"
98,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '插画', '盾指'})"
99,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '罗纳克', '插画'})"
100,0.05154639175257732,"frozenset({'永遠的7日之都', '插画', '盾指'})"
101,0.05154639175257732,"frozenset({'罗纳克', '插画', '永遠的7日之都'})"
102,0.09278350515463918,"frozenset({'罗纳克', '插画', '盾指'})"
103,0.05154639175257732,"frozenset({'永遠の七日1000users入り', '永远的7日之都', '永遠的7日之都'})"
104,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '永远的7日之都', '盾指'})"
105,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '罗纳克', '永远的7日之都'})"
106,0.05154639175257732,"frozenset({'永遠的7日之都', '永远的7日之都', '盾指'})"
107,0.05154639175257732,"frozenset({'罗纳克', '永远的7日之都', '永遠的7日之都'})"
108,0.09278350515463918,"frozenset({'罗纳克', '永远的7日之都', '盾指'})"
109,0.05154639175257732,"frozenset({'永遠的7日之都', '永遠の七日1000users入り', '盾指'})"
110,0.05154639175257732,"frozenset({'永遠の七日1000users入り', '罗纳克', '永遠的7日之都'})"
111,0.09278350515463918,"frozenset({'永遠の七日1000users入り', '罗纳克', '盾指'})"
112,0.05154639175257732,"frozenset({'永遠的7日之都', '罗纳克', '盾指'})"
113,0.05154639175257732,"frozenset({'永远的7日之都', '彼と彼女', '插画', 'イラスト'})"
